Consectutivo_curso;Nombre;Fecha_inicio;Fecha_creación;Curso_nuevo;Programa;NumCursos;NumCursosFac;Keywords;Valor_por_hora;Categoría;Facultad;Modalidad;validaExitoso;Fecha_busqueda;Fecha_ventana;Keywords_gt
CUR-0016466;Taller de Preparación para el TOEFL y el IELTS 201820;3/09/2018;1/07/2018;1;0;98;14;['Aprender idiomas', 'lenguas', 'cursos de preparacion de idiomas', 'estudiar ingles', 'lenguas modernas'];37600;Lenguas;CIENCIAS SOCIALES;Presencial;1;30/06/2018;2/01/2018;7.19
CUR-0016468;Taller Periodismo escrito para no periodistas;6/10/2018;1/08/2018;0;0;111;17;['Comunicación Social y periodismo', 'Periodista', 'Prensa colombiana', 'carrera de periodismo', 'cursos de periodismo'];45000;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;1;31/07/2018;2/02/2018;4.53
CUR-0016469;Curso de Asociaciones Público Privadas (APP) - Actualización Ley 1882 de 2018;7/09/2018;1/07/2018;1;0;98;9;['Carrera de derecho', 'abogacía', 'curso de derecho', 'cursos para abogados', 'curso de leyes'];62000;Actualización Profesional;DERECHO;Presencial;1;30/06/2018;2/01/2018;4.48
CUR-0016470;Curso Moda hecha periodismo;30/08/2018;1/06/2018;1;0;71;14;['Comunicación Social y periodismo', 'Periodista', 'Prensa colombiana', 'carrera de periodismo', 'cursos de periodismo'];45000;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;1;31/05/2018;3/12/2017;5.31
CUR-0016471;Taller Origami: estructuras, arte y plegado;5/09/2018;1/07/2018;1;0;98;0;['origami', 'curso de japonés', 'diseño japones', 'diseño asiático', 'origami de japon'];41350;Artes, Ciencias y Humanidades;DIRECCION DE INTERNACIONALIZACION;Presencial;0;30/06/2018;2/01/2018;1.5
CUR-0016474;Curso Computación en la nube: promesas de valor, amenazas emergentes y retos jurídicos;14/09/2018;1/07/2018;1;0;98;9;['Carrera de derecho', 'abogacía', 'curso de derecho', 'cursos para abogados', 'curso de leyes'];58333.33;Actualización Profesional;DERECHO;Presencial;0;30/06/2018;2/01/2018;4.48
CUR-0016475;Curso Oralidad y escritura para abogados;18/09/2018;1/07/2018;1;0;98;9;['Carrera de derecho', 'abogacía', 'curso de derecho', 'cursos para abogados', 'curso de leyes'];61666.67;Actualización Profesional;DERECHO;Presencial;0;30/06/2018;2/01/2018;4.48
CUR-0016476;Curso Legal English for Business;25/09/2018;1/07/2018;0;0;98;9;['Carrera de derecho', 'abogacía', 'curso de derecho', 'cursos para abogados', 'curso de leyes'];61666.67;Actualización Profesional;DERECHO;Presencial;0;30/06/2018;2/01/2018;4.48
CUR-0016477;Course Flipping the English Language Classroom;29/09/2018;1/07/2018;1;0;98;14;['Aprender idiomas', 'lenguas', 'cursos de preparacion de idiomas', 'estudiar ingles', 'lenguas modernas'];58333.33;Actualización Profesional;CIENCIAS SOCIALES;Presencial;1;30/06/2018;2/01/2018;9.37
CUR-0016478;Seminario Responsabilidades jurídicas de los miembros de juntas directivas de entidades públicas;25/10/2018;1/08/2018;1;0;111;9;['Carrera de derecho', 'abogacía', 'curso de derecho', 'cursos para abogados', 'curso de leyes'];62500;Actualización Profesional;DERECHO;Presencial;1;31/07/2018;2/02/2018;4.46
CUR-0016479;Curso Corporate Compliance & Governance;5/10/2018;1/08/2018;0;0;111;9;['Carrera de derecho', 'abogacía', 'curso de derecho', 'cursos para abogados', 'curso de leyes'];56363.64;Actualización Profesional;DERECHO;Presencial;1;31/07/2018;2/02/2018;4.46
CUR-0016480;Curso Derecho de energías renovables;19/10/2018;1/08/2018;0;0;111;9;['Carrera de derecho', 'abogacía', 'curso de derecho', 'cursos para abogados', 'curso de leyes'];57812.5;Actualización Profesional;DERECHO;Presencial;1;31/07/2018;2/02/2018;4.46
CUR-0016481;Curso Derecho de la Infraestructura: regulación y financiamiento;2/11/2018;1/09/2018;0;0;116;10;['Carrera de derecho', 'abogacía', 'curso de derecho', 'cursos para abogados', 'curso de leyes'];61666.67;Actualización Profesional;DERECHO;Presencial;1;31/08/2018;5/03/2018;4.69
CUR-0016486;Curso Nuevas tendencias del derecho laboral;2/11/2018;1/09/2018;0;0;116;10;['Carrera de derecho', 'abogacía', 'curso de derecho', 'cursos para abogados', 'curso de leyes'];57812.5;Actualización Profesional;DERECHO;Presencial;1;31/08/2018;5/03/2018;4.69
CUR-0016517;Curso Economía Naranja;2/10/2018;1/08/2018;1;0;111;4;['Economía colombiana', 'curso de economía uniandes', 'fundamentos de economía', 'ciencias económicas', 'economía naranja'];59000;Actualización Profesional;ECONOMIA;Presencial;1;31/07/2018;2/02/2018;4.49
CUR-0016522;Curso Herramientas filosóficas para el cuidado y el autoconocimiento;15/09/2018;1/07/2018;1;0;98;14;['Cursos de filosofía', 'filosofía medieval', 'metafísica', 'historia de la filosofía', 'herramientas filosóficas'];41395.83;Desarrollo Personal;CIENCIAS SOCIALES;Presencial;0;30/06/2018;2/01/2018;4.51
CUR-0016650;Course Good Ideas make Great Illustration | Yuko Shimizu (Japan);18/10/2018;1/08/2018;1;0;111;0;['origami', 'curso de japonés', 'diseño japones', 'diseño asiático', 'origami de japon'];65000;Artes, Ciencias y Humanidades;DIRECCION DE INTERNACIONALIZACION;Presencial;1;31/07/2018;2/02/2018;0.97
CUR-0017086;Curso de Gestión de Activos, Mantenimiento y Confiabilidad;26/10/2018;1/08/2018;1;0;111;22;['Cursos en mecánica', 'manejo de maquinas', 'gestion de activos', 'mantenimiento', 'gestion industrial'];100000;Actualización Profesional;INGENIERIA;Presencial;1;31/07/2018;2/02/2018;7.31
CUR-0017310;Curso Advanced legal English for corporate lawyers;13/09/2018;1/07/2018;1;0;98;9;['Carrera de derecho', 'abogacía', 'curso de derecho', 'cursos para abogados', 'curso de leyes'];58333.33;Actualización Profesional;DERECHO;Presencial;0;30/06/2018;2/01/2018;4.48
CUR-0017375;Curso Lean Project Management y Lean Construction;5/10/2018;1/08/2018;0;0;111;22;['Ingenieria de aguas', 'diseños de sistemas en ingenieria', 'gerencia de proyectos', 'estandares de seguridad en ingenieria civil', 'cursos de vías'];81562.5;Actualización Profesional;INGENIERIA;Presencial;0;31/07/2018;2/02/2018;2.91
CUR-0017376;Curso actualización y práctica probatoria en el Código General del Proceso;5/10/2018;1/08/2018;1;0;111;9;['Carrera de derecho', 'abogacía', 'curso de derecho', 'cursos para abogados', 'curso de leyes'];67500;Actualización Profesional;DERECHO;Presencial;0;31/07/2018;2/02/2018;4.46
CUR-0017377;Curso Derecho del entretenimiento: publicidad e imagen a la luz de la economía naranja y la Ley de derecho de autor;26/10/2018;1/08/2018;0;0;111;9;['Carrera de derecho', 'abogacía', 'curso de derecho', 'cursos para abogados', 'curso de leyes'];58333.33;Actualización Profesional;DERECHO;Presencial;1;31/07/2018;2/02/2018;4.46
CUR-0017380;Curso Lean Project Management y Lean Construction - Sede Caribe;29/11/2018;1/09/2018;1;0;116;24;['Ingenieria de aguas', 'diseños de sistemas en ingenieria', 'gerencia de proyectos', 'estandares de seguridad en ingenieria civil', 'cursos de vías'];99000;Actualización Profesional;INGENIERIA;Presencial;1;31/08/2018;5/03/2018;2.99
CUR-0017381;Curso Incorporación de la gestión del riesgo en el ordenamiento territorial;2/10/2018;1/08/2018;0;0;111;3;['Gestión de proyectos', 'desarrollo humano', 'proyectos sociales', 'ordenamiento territorial', 'cursos de gestión'];50000;Actualización Profesional;CENTRO INTERDISCIPLINARIO DE ESTUDIOS SOBRE DESARROLLO;Semipresencial / Blended;1;31/07/2018;2/02/2018;8.45
CUR-0017382;Curso Desarrollo humano, pleno y sostenible desde los ODS;18/10/2018;1/08/2018;1;0;111;3;['Gestión de proyectos', 'desarrollo humano', 'proyectos sociales', 'ordenamiento territorial', 'cursos de gestión'];70000;Actualización Profesional;CENTRO INTERDISCIPLINARIO DE ESTUDIOS SOBRE DESARROLLO;Presencial;1;31/07/2018;2/02/2018;8.45
CUR-0017383;Curso El desafío del modelo dimensional de los trastornos de personalidad: conceptualización y evaluación;30/11/2018;1/09/2018;1;0;116;14;['universidad de los andes', 'psicologia', 'cursos de psicologia', 'talleres en psicologia', 'cursos presenciales psicologia'];54000;Actualización Profesional;CIENCIAS SOCIALES;Presencial;1;31/08/2018;5/03/2018;9.21
CUR-0017384;Taller de Experimentos de Biología para jóvenes: el mundo invisible a través del microscopio;20/10/2018;1/08/2018;1;0;111;5;['Cursos de biología', 'Probabilidad y estadística', 'ciencias aplicadas', 'escuela de ciencias', 'cursos de física', 'cursos de matemáticas'];54500;Niños y Jóvenes;CIENCIAS;Presencial;0;31/07/2018;2/02/2018;3.09
CUR-0017386;Seminario de Excelencia Taller de Liderazgo en Ingeniería para profesionales;12/10/2018;1/08/2018;1;0;111;22;['Cursos en ingeniería', 'como ser lider en ingenieria', 'cursos en  reingeniería', 'gerencia proyectos en ingenieria', 'liderar proyectos en ingenieria'];65000;Actualización Profesional;INGENIERIA;Presencial;1;31/07/2018;2/02/2018;2.91
CUR-0017387;Curso Galaxias en nuestro Universo;27/10/2018;1/08/2018;1;0;111;5;['Cursos de biología', 'Probabilidad y estadística', 'ciencias aplicadas', 'escuela de ciencias', 'cursos de física', 'cursos de matemáticas'];41250;Artes, Ciencias y Humanidades;CIENCIAS;Presencial;0;31/07/2018;2/02/2018;3.09
CUR-0017389;Curso Diseño de Sistemas de Drenaje Urbano Sostenible (SUDS): Aspectos Básicos;5/10/2018;1/08/2018;0;0;111;22;['Ingenieria de aguas', 'diseños de sistemas en ingenieria', 'gerencia de proyectos', 'estandares de seguridad en ingenieria civil', 'cursos de vías'];80000;Actualización Profesional;INGENIERIA;Presencial;1;31/07/2018;2/02/2018;2.91
CUR-0017392;Taller de experimentos espectaculares para niños: Física y Matemáticas;17/11/2018;1/09/2018;1;0;116;5;['Cursos de biología', 'Probabilidad y estadística', 'ciencias aplicadas', 'escuela de ciencias', 'cursos de física', 'cursos de matemáticas'];52222.22;Niños y Jóvenes;CIENCIAS;Presencial;1;31/08/2018;5/03/2018;3.04
CUR-0017464;Curso Enseñanza - aprendizaje para profesionales de la salud;1/11/2018;1/09/2018;1;0;116;7;['Cursos presenciales medicina', 'medicina interna', 'diplomado en medicina', 'diplomados presenciales en medicina', 'oferta cursos medicina'];37083.33;Actualización Profesional;MEDICINA;Presencial;1;31/08/2018;5/03/2018;2.84
CUR-0017467;Curso Proyectos de vida. Método de enfoque mental y emocional;13/11/2018;1/09/2018;1;0;116;24;['cursos en ingenieria', 'electronica', 'gerencia de proyectos en ingenieria', 'taller en electrisidad', 'modalidad blend'];63750;Desarrollo Personal;INGENIERIA;Presencial;1;31/08/2018;5/03/2018;3.66
CUR-0017468;Curso Análisis multinivel aplicado a salud pública;2/11/2018;1/09/2018;1;0;116;7;['Cursos presenciales medicina', 'medicina interna', 'diplomado en medicina', 'diplomados presenciales en medicina', 'oferta cursos medicina'];50000;Actualización Profesional;MEDICINA;Presencial;1;31/08/2018;5/03/2018;2.84
CUR-0017470;Lanzamiento de la Escuela Iberoamericana de Regulación Eléctrica (EIRE- ARIAE). Seminario Taller: Garantías y coberturas, Señales de localización y Mercados descentralizados;17/10/2018;1/08/2018;1;0;111;22;['Cursos en ingeniería', 'como ser lider en ingenieria', 'cursos en  reingeniería', 'gerencia proyectos en ingenieria', 'liderar proyectos en ingenieria'];80000;Actualización Profesional;INGENIERIA;Presencial;1;31/07/2018;2/02/2018;2.91
CUR-0017472;Curso de Modelación de la Calidad del Agua Superficial: Ríos, Canales, y Ciénagas - Sede Caribe;29/11/2018;1/09/2018;1;0;116;24;['Ingenieria de aguas', 'diseños de sistemas en ingenieria', 'gerencia de proyectos', 'estandares de seguridad en ingenieria civil', 'cursos de vías'];82000;Actualización Profesional;INGENIERIA;Presencial;1;31/08/2018;5/03/2018;2.99
CUR-0017475;Programa de Liderazgo en Ingeniería - Nivel Junior - Primer semestre;28/01/2019;1/11/2018;0;1;139;28;['clases de ingeniería', 'ingeniería Uniandes', 'facultad de ingeniería', 'liderazgo en ingeniería.'];37500;Desarrollo Personal;INGENIERIA;Presencial;1;31/10/2018;5/05/2018;3.72
CUR-0017662;Curso de Soporte Vital Cardiovascular Avanzado para Proveedores experimentados - ACLS EP;27/09/2018;1/07/2018;0;0;98;12;['Cursos presenciales medicina', 'medicina interna', 'diplomado en medicina', 'diplomados presenciales en medicina', 'oferta cursos medicina'];102857.14;Actualización Profesional;MEDICINA;Presencial;1;30/06/2018;2/01/2018;2.64
CUR-0017726;Curso Afrocolombias en perspectiva comparada con Brasil y Cuba;11/10/2018;1/08/2018;1;0;111;15;['Clases de historia', 'arte medieval', 'historia contemporanea', 'apreciación del arte', 'historia civil'];41340;Artes, Ciencias y Humanidades;CIENCIAS SOCIALES;Presencial;0;31/07/2018;2/02/2018;4.21
CUR-0018031;Curso Derecho marítimo: transacciones comerciales internacionales;28/02/2019;1/12/2018;1;0;138;18;['Cursos de derecho', 'derecho laboral', 'leyes colombia', 'derecho marítimo'];75416.67;Actualización Profesional;DERECHO;Presencial;1;30/11/2018;4/06/2018;4.51
CUR-0018032;Curso teórico práctico de Yoga para la salud y el bienestar;23/11/2018;1/09/2018;1;0;116;7;['Cursos presenciales medicina', 'medicina interna', 'diplomado en medicina', 'diplomados presenciales en medicina', 'oferta cursos medicina'];35625;Desarrollo Personal;MEDICINA;Presencial;1;31/08/2018;5/03/2018;2.84
CUR-0018165;Seminario de Excelencia Data Science: de la teoría a la práctica;20/11/2018;1/09/2018;0;0;116;24;['Cursos en ingeniería', 'como ser lider en ingenieria', 'cursos en  reingeniería', 'gerencia proyectos en ingenieria', 'liderar proyectos en ingenieria'];75000;Actualización Profesional;INGENIERIA;Presencial;1;31/08/2018;5/03/2018;3.14
CUR-0018166;Curso de Soporte Vital Básico – BLS (Basic Life Support);20/10/2018;1/08/2018;0;0;111;12;['Cursos presenciales medicina', 'medicina interna', 'diplomado en medicina', 'diplomados presenciales en medicina', 'oferta cursos medicina'];80000;Actualización Profesional;MEDICINA;Presencial;0;31/07/2018;2/02/2018;2.55
CUR-0018294;Programa de Liderazgo en Ingeniería - Nivel Senior - Primer semestre;28/01/2019;1/11/2018;0;1;139;28;['Cursos en ingeniería', 'como ser lider en ingenieria', 'cursos en  reingeniería', 'gerencia proyectos en ingenieria', 'liderar proyectos en ingenieria'];136363.64;Desarrollo Personal;INGENIERIA;Presencial;1;31/10/2018;5/05/2018;3.0
CUR-0018418;Programa infantil y juvenil de formación musical 2019-10;2/02/2019;1/12/2018;1;1;138;18;['Oferta de cursos Uniandes', 'facultad de humanidades y artes', 'arte contemporaneo', 'artes y humanidades carreras', 'humanidades y bellas artes'];38750;Niños y Jóvenes;ARTES Y HUMANIDADES;Presencial;0;30/11/2018;4/06/2018;2.54
CUR-0018488;Curso Protección de datos y accountability;22/02/2019;1/12/2018;0;0;138;18;['Cursos de derecho', 'derecho laboral', 'leyes colombia', 'protección de datos'];61833.33;Actualización Profesional;DERECHO;Presencial;1;30/11/2018;4/06/2018;4.51
CUR-0018491;Curso Derecho Migratorio;22/02/2019;1/12/2018;0;0;138;18;['Cursos de derecho', 'derecho laboral', 'leyes colombia', 'Migración'];65720;Actualización Profesional;DERECHO;Presencial;1;30/11/2018;4/06/2018;5.11
CUR-0018492;Seminario Responsabilidades de los miembros de Juntas Directivas: disciplinarias, penales y fiscales;28/02/2019;1/12/2018;1;0;138;18;['Carrera de derecho', 'abogacía', 'curso de derecho', 'cursos para abogados', 'curso de leyes'];66250;Actualización Profesional;DERECHO;Presencial;1;30/11/2018;4/06/2018;5.24
CUR-0018493;Programa Profesionales® Régimen de Insolvencia;4/03/2019;1/01/2019;0;0;109;17;['Cursos de derecho', 'derecho laboral', 'leyes colombia', 'Regimen de insolvencia'];54060;Actualización Profesional;DERECHO;Presencial;1;31/12/2018;5/07/2018;7.21
CUR-0018494;Curso Derechos Humanos, Derecho Internacional Humanitario y construcción de paz en Colombia;8/03/2019;1/01/2019;0;0;109;17;['Cursos de derecho', 'derecho laboral', 'leyes colombia', 'Derechos humanos'];64688.89;Actualización Profesional;DERECHO;Presencial;0;31/12/2018;5/07/2018;6.29
CUR-0018496;Curso Derecho Ambiental: aspectos para la gestión ambiental en Colombia;15/03/2019;1/01/2019;0;0;109;17;['Cursos de derecho', 'derecho laboral', 'leyes colombia', 'Derecho ambiental'];64688.89;Actualización Profesional;DERECHO;Presencial;1;31/12/2018;5/07/2018;7.75
CUR-0018497;Curso Innovación en servicios jurídicos;26/04/2019;1/02/2019;1;0;99;17;['Cursos de derecho', 'derecho laboral', 'leyes colombia', 'Servicios jurídicos'];64688.89;Actualización Profesional;DERECHO;Presencial;1;31/01/2019;5/08/2018;6.25
CUR-0018498;Curso Corporate Compliance & Governance;26/04/2019;1/02/2019;0;0;99;17;['Cursos de derecho', 'derecho laboral', 'leyes colombia', 'Corporate compliance'];59745.45;Actualización Profesional;DERECHO;Presencial;1;31/01/2019;5/08/2018;4.73
CUR-0018499;Curso Derecho minero complementario;3/05/2019;1/03/2019;1;0;96;20;['Cursos de derecho', 'derecho laboral', 'leyes colombia', 'Derecho minero'];65720;Actualización Profesional;DERECHO;Presencial;1;28/02/2019;2/09/2018;6.31
CUR-0018500;Curso Legal English for Business;7/05/2019;1/03/2019;0;0;96;20;['Cursos de derecho', 'derecho laboral', 'leyes colombia', 'Inglés de negocios'];65366.67;Actualización Profesional;DERECHO;Presencial;1;28/02/2019;2/09/2018;6.41
CUR-0018501;Curso Derecho de energías renovables;10/05/2019;1/03/2019;0;0;96;20;['Cursos de derecho', 'derecho laboral', 'leyes colombia', 'Energías renovables'];61281.25;Actualización Profesional;DERECHO;Presencial;1;28/02/2019;2/09/2018;6.18
CUR-0018502;Curso Derecho del entretenimiento: publicidad e imagen a la luz de la economía naranja y la Ley de derecho de autor;10/05/2019;1/03/2019;0;0;96;20;['Cursos de derecho', 'derecho laboral', 'leyes colombia', 'derecho de entretenimiento'];61833.33;Actualización Profesional;DERECHO;Presencial;1;28/02/2019;2/09/2018;4.67
CUR-0018503;Curso Finanzas para abogados;2/07/2019;1/05/2019;0;0;71;13;['Cursos de derecho', 'derecho laboral', 'leyes colombia', 'Finanzas'];64688.89;Actualización Profesional;DERECHO;Presencial;1;30/04/2019;2/11/2018;7.66
CUR-0018504;Curso Nuevas tendencias del derecho laboral;7/06/2019;1/04/2019;0;0;89;15;['Cursos de derecho', 'derecho laboral', 'leyes colombia', 'Tendencias del derecho'];61281.25;Actualización Profesional;DERECHO;Presencial;0;31/03/2019;3/10/2018;4.69
CUR-0018505;Curso Medicina del viajero;21/02/2019;1/12/2018;1;0;138;10;['cursos de medicina', 'medicina alternativa', 'medicina tradicional', 'medicina del viajero.'];52000;Actualización Profesional;MEDICINA;Presencial;1;30/11/2018;4/06/2018;3.93
CUR-0018506;Curso Evaluación Económica en Salud - Nivel básico;8/03/2019;1/01/2019;0;0;109;9;['Yoga', 'Cursos presenciales medicina', 'medicina interna', 'diplomado en medicina', 'diplomados presenciales en medicina', 'oferta cursos medicina'];47500;Actualización Profesional;MEDICINA;Presencial;1;31/12/2018;5/07/2018;3.16
CUR-0018507;Curso teórico práctico: Diagnóstico y manejo integral de las dislipidemias;17/05/2019;1/03/2019;1;0;96;9;['cursos de medicina', 'medicina alternativa', 'medicina tradicional', 'diagnóstico de laboratorio.'];61250;Actualización Profesional;MEDICINA;Presencial;0;28/02/2019;2/09/2018;3.02
CUR-0018508;Programa de Alto Gobierno - PAG;21/03/2019;1/01/2019;0;1;109;0;['Escuela de Gobierno Alberto Lleras Camargo', 'sistema  de salud'];550000;Actualización Profesional;ESCUELA DE GOBIERNO ALBERTO LLERAS CAMARGO;Presencial;1;31/12/2018;5/07/2018;2.79
CUR-0018511;Curso Ley de Convivencia Escolar: el qué y el cómo de la Ruta de Atención Integral;2/03/2019;1/01/2019;1;0;109;4;['educación continua', 'educación formal', 'cursos de educación', 'ley de convivencia.'];51785.71;Actualización Profesional;EDUCACION;Semipresencial / Blended;1;31/12/2018;5/07/2018;4.61
CUR-0018512;Curso Indicadores y medición en la gestión de proyectos y políticas sociales;1/04/2019;1/02/2019;0;0;99;6;['Uniandes', 'Educación Continua Uniandes', 'cursos Uniandes', 'desarrollo social.'];79166.67;Actualización Profesional;CENTRO INTERDISCIPLINARIO DE ESTUDIOS SOBRE DESARROLLO;Presencial;1;31/01/2019;5/08/2018;4.36
CUR-0018513;Curso Fuentes de financiación y formulación de proyectos sociales en la cooperación euro-latinoamericana;11/02/2019;1/12/2018;0;0;138;6;['Gestión de proyectos', 'desarrollo humano', 'proyectos sociales', 'ordenamiento territorial', 'cursos de gestión'];79166.67;Actualización Profesional;CENTRO INTERDISCIPLINARIO DE ESTUDIOS SOBRE DESARROLLO;Presencial;1;30/11/2018;4/06/2018;7.07
CUR-0018524;Taller de Fundamentos de dibujo;23/02/2019;1/12/2018;0;0;138;18;['Arte contemporaneo', 'escultura', 'arte y pintura', 'dibujo figurativo'];45000;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;1;30/11/2018;4/06/2018;6.04
CUR-0018525;Taller Fundamentos de pintura;13/07/2019;1/05/2019;0;0;71;16;['Arte contemporaneo', 'escultura', 'arte y pintura', 'dibujo y pintura'];45000;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;1;30/04/2019;2/11/2018;4.37
CUR-0018526;Taller de Pintura experimental;14/09/2019;1/07/2019;0;0;127;22;['Arte contemporaneo', 'escultura', 'arte y pintura', 'taller de pintura'];45000;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;1;30/06/2019;2/01/2019;6.15
CUR-0018527;Taller Dibujo analítico de figura humana;4/05/2019;1/03/2019;1;0;96;17;['Arte contemporaneo', 'escultura', 'arte y pintura', 'dibujo figurativo'];45000;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;0;28/02/2019;2/09/2018;4.96
CUR-0018528;Programa de Dibujo y pintura;23/02/2019;1/12/2018;1;1;138;18;['Arte contemporaneo', 'escultura', 'arte y pintura', 'dibujo y pintura'];40500;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;0;30/11/2018;4/06/2018;5.78
CUR-0018539;Taller de Preparación para el TOEFL y el IELTS 201910_Décima Sexta Promoción.;18/03/2019;1/01/2019;1;0;109;15;['idiomas', 'lengua española', 'cultura y sociedad'];70480;Lenguas;CIENCIAS SOCIALES;Presencial;1;31/12/2018;5/07/2018;12.24
CUR-0018540;Taller InDesign básico. Herramientas gráficas para no diseñadores;12/02/2019;1/12/2018;1;0;138;4;['Clases de diseño', 'diseño gráfico', 'cursos de diseño', 'curso de indesign.'];62500;Actualización Profesional;ARQUITECTURA Y DISENO;Presencial;1;30/11/2018;4/06/2018;4.21
CUR-0018541;Taller Photoshop básico. Herramientas gráficas para no diseñadores.;3/04/2019;1/02/2019;1;0;99;4;['Clases de diseño', 'diseño gráfico', 'cursos de diseño', 'curso de photoshop.'];65791.67;Actualización Profesional;ARQUITECTURA Y DISENO;Presencial;1;31/01/2019;5/08/2018;4.64
CUR-0018543;Curso Historia de Irán y la revolución islámica;16/02/2019;1/12/2018;1;0;138;17;['Revolución islámica', 'cursos de historia', 'historia del arte', 'licenciatura historia'];43872.22;Artes, Ciencias y Humanidades;CIENCIAS SOCIALES;Presencial;1;30/11/2018;4/06/2018;2.56
CUR-0018671;Curso Herramientas desde el Arte Terapia;27/04/2019;1/02/2019;1;0;99;15;['Arte terapia'];34979.04;Actualización Profesional;ARTES Y HUMANIDADES;Presencial;1;31/01/2019;5/08/2018;5.47
CUR-0018672;Curso Medicina Genómica – aplicaciones en genética clínica;15/02/2019;1/12/2018;1;0;138;0;['cursos de medicina', 'medicina alternativa', 'medicina tradicional', 'biotecnología.'];63750;Actualización Profesional;CENTRO DE SERVICIOS INTEGRALES EN GENETICA - SIGEN;Presencial;1;30/11/2018;4/06/2018;4.89
CUR-0018674;Curso Enseñanza Clínica;16/03/2019;1/01/2019;1;0;109;9;['cursos de medicina', 'medicina alternativa', 'medicina tradicional', 'pedagogía médica.'];41111.11;Actualización Profesional;MEDICINA;Semipresencial / Blended;1;31/12/2018;5/07/2018;3.12
CUR-0018831;Curso de Matemáticas para Posgrados;18/01/2019;1/11/2018;0;0;139;5;['curso de matematicas', 'clases de matematicas', 'cursos de economía'];45000;Actualización Profesional;ECONOMIA;Presencial;1;31/10/2018;5/05/2018;2.49
CUR-0018832;Programa Fotografía: cuerpo, espacio y visión;9/03/2019;1/01/2019;1;1;109;17;['Arte contemporaneo', 'escultura', 'arte y pintura', 'curso de fotografía'];45000;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;0;31/12/2018;5/07/2018;5.02
CUR-0018834;Curso Fotografía en blanco y negro y en color;9/03/2019;1/01/2019;1;0;109;17;['Arte contemporaneo', 'escultura', 'arte y pintura', 'curso de fotografía'];50000;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;0;31/12/2018;5/07/2018;5.02
CUR-0018840;Curso de Fotografía: visión personal;7/09/2019;1/07/2019;1;0;127;22;['Arte contemporaneo', 'escultura', 'arte y pintura', 'fotografía personal'];50000;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;0;30/06/2019;2/01/2019;4.63
CUR-0018846;Ciclo de Iniciación musical EMI-1;2/02/2019;1/12/2018;1;1;138;18;['Desarrollo musical'];68125;Niños y Jóvenes;ARTES Y HUMANIDADES;Presencial;1;30/11/2018;4/06/2018;6.82
CUR-0018847;Ciclo de Iniciación musical EMI-2;2/02/2019;1/12/2018;1;1;138;18;['Desarrollo musical'];64718.75;Niños y Jóvenes;ARTES Y HUMANIDADES;Presencial;1;30/11/2018;4/06/2018;6.82
CUR-0018848;Curso Las cruzadas: peregrinaje armado y guerra santa;4/05/2019;1/03/2019;1;0;96;11;['Las cruzadas', 'cursos de historia', 'historia del arte', 'licenciatura historia'];43872.22;Artes, Ciencias y Humanidades;CIENCIAS SOCIALES;Presencial;1;28/02/2019;2/09/2018;4.14
CUR-0018849;Curso Innovación en Química y Desarrollo Sostenible;12/03/2019;1/01/2019;1;0;109;6;['Clases de ciencia', 'Ciencias aplicadas', 'física y matemática', 'sociedades industriales.'];55000;Actualización Profesional;CIENCIAS;Presencial;1;31/12/2018;5/07/2018;4.18
CUR-0019830;Programa Cerámica a su propio ritmo;23/02/2019;1/12/2018;1;1;138;18;['Arte contemporaneo', 'escultura', 'arte y pintura', 'curso de cerámica'];40500;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;0;30/11/2018;4/06/2018;4.52
CUR-0019831;Taller Modelado cerámica;23/02/2019;1/12/2018;1;0;138;18;['Arte contemporaneo', 'escultura', 'arte y pintura', 'Modelado de cerámica'];45000;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;0;30/11/2018;4/06/2018;4.52
CUR-0019832;Taller Placas cerámicas y escultura en torno;18/05/2019;1/03/2019;1;0;96;17;['Arte contemporaneo', 'escultura', 'arte y pintura', 'Cerámica artística'];45000;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;0;28/02/2019;2/09/2018;3.5
CUR-0019834;Taller Rollos y talla en alto y bajo relieve;10/08/2019;1/06/2019;1;0;84;20;['Arte contemporaneo', 'escultura', 'arte y pintura', 'Acabados cerámicos'];45000;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;0;31/05/2019;3/12/2018;4.91
CUR-0019835;Curso Introducción a la Morfometría Geométrica;27/03/2019;1/01/2019;1;0;109;6;['Clases de ciencia', 'Ciencias aplicadas', 'física y matemática', 'toma de datos espaciales.'];55000;Actualización Profesional;CIENCIAS;Presencial;0;31/12/2018;5/07/2018;4.18
