Consectutivo_curso;Nombre;Fecha_inicio;Fecha_creación;Curso_nuevo;Programa;NumCursos;NumCursosFac;Keywords;Valor_por_hora;Categoría;Facultad;Modalidad;Estado;Valor_Tarifa;Departamento;Estado;Punto_equilibrio;Meta;Cupomaximo;Inscritos;Cantidadinscritostotales;validaExitoso
CUR-0016478;Seminario Responsabilidades jurídicas de los miembros de juntas directivas de entidades públicas;25/10/2018;1/08/2018;Si;No;111;9;Carrera de derecho, abogacía, curso de derecho, cursos para abogados, curso de leyes;62500.00;Actualización Profesional;DERECHO;Presencial;Finalizado;500000.00;Derecho;Finalizado;12;15;20;34;34;1
CUR-0016479;Curso Corporate Compliance & Governance;5/10/2018;1/08/2018;No;No;111;9;Carrera de derecho, abogacía, curso de derecho, cursos para abogados, curso de leyes;56363.64;Actualización Profesional;DERECHO;Presencial;Finalizado;2480000.00;Derecho;Finalizado;13;15;20;24;24;1
CUR-0016480;Curso Derecho de energías renovables;19/10/2018;1/08/2018;No;No;111;9;Carrera de derecho, abogacía, curso de derecho, cursos para abogados, curso de leyes;57812.50;Actualización Profesional;DERECHO;Presencial;Finalizado;1850000.00;Derecho;Finalizado;13;15;20;13;13;1
CUR-0016481;Curso Derecho de la Infraestructura: regulación y financiamiento;2/11/2018;1/09/2018;No;No;116;10;Carrera de derecho, abogacía, curso de derecho, cursos para abogados, curso de leyes;61666.67;Actualización Profesional;DERECHO;Presencial;Finalizado;1850000.00;Derecho;Finalizado;13;15;20;19;19;1
CUR-0016486;Curso Nuevas tendencias del derecho laboral;2/11/2018;1/09/2018;No;No;116;10;Carrera de derecho, abogacía, curso de derecho, cursos para abogados, curso de leyes;57812.50;Actualización Profesional;DERECHO;Presencial;Finalizado;1850000.00;Derecho;Finalizado;13;15;22;22;22;1
CUR-0016517;Curso Economía Naranja;2/10/2018;1/08/2018;Si;No;111;4;Economía colombiana, curso de economía uniandes, fundamentos de economía, ciencias económicas, economía naranja;59000.00;Actualización Profesional;ECONOMIA;Presencial;Finalizado;2655000.00;Economía;Finalizado;7;15;35;19;19;1
CUR-0016522;Curso Herramientas filosóficas para el cuidado y el autoconocimiento;15/09/2018;1/07/2018;Si;No;98;14;Cursos de filosofía, filosofía medieval,  metafísica, historia de la filosofía, herramientas filosóficas;41395.83;Desarrollo Personal;CIENCIAS SOCIALES;Presencial;Finalizado;993500.00;Filosofía;Finalizado;10;15;30;9;9;0
CUR-0016650;Course Good Ideas make Great Illustration | Yuko Shimizu (Japan);18/10/2018;1/08/2018;Si;No;111;0;origami, curso de japonés, diseño japones, diseño asiático,  origami de japon;65000.00;Artes, Ciencias y Humanidades;DIRECCION DE INTERNACIONALIZACION;Presencial;Finalizado;780000.00;Centro del Japón;Finalizado;18;18;18;18;18;1
CUR-0017086;Curso de Gestión de Activos, Mantenimiento y Confiabilidad;26/10/2018;1/08/2018;Si;No;111;22;Cursos en mecánica, manejo de maquinas, gestion de activos, mantenimiento, gestion industrial;100000.00;Actualización Profesional;INGENIERIA;Presencial;Finalizado;1600000.00;Ingeniería Mecánica;Finalizado;13;15;35;34;34;1
CUR-0017310;Curso Advanced legal English for corporate lawyers;13/09/2018;1/07/2018;Si;No;98;9;Carrera de derecho, abogacía, curso de derecho, cursos para abogados, curso de leyes;58333.33;Actualización Profesional;DERECHO;Presencial;Finalizado;1400000.00;Derecho;Finalizado;14;15;30;10;10;0
CUR-0017375;Curso Lean Project Management y Lean Construction;5/10/2018;1/08/2018;No;No;111;22;Ingenieria de aguas, diseños de sistemas en ingenieria, gerencia de proyectos, estandares de seguridad en ingenieria civil, cursos de vías;81562.50;Actualización Profesional;INGENIERIA;Presencial;Finalizado;2610000.00;Ingeniería Civil y Ambiental;Finalizado;7;15;25;6;6;0
CUR-0017376;Curso actualización y práctica probatoria en el Código General del Proceso;5/10/2018;1/08/2018;Si;No;111;9;Carrera de derecho, abogacía, curso de derecho, cursos para abogados, curso de leyes;67500.00;Actualización Profesional;DERECHO;Presencial;Finalizado;1620000.00;Derecho;Finalizado;12;18;30;11;11;0
CUR-0017377;Curso Derecho del entretenimiento: publicidad e imagen a la luz de la economía naranja y la Ley de derecho de autor;26/10/2018;1/08/2018;No;No;111;9;Carrera de derecho, abogacía, curso de derecho, cursos para abogados, curso de leyes;58333.33;Actualización Profesional;DERECHO;Presencial;Finalizado;1400000.00;Derecho;Finalizado;14;15;30;34;34;1
CUR-0017380;Curso Lean Project Management y Lean Construction - Sede Caribe;29/11/2018;1/09/2018;Si;No;116;24;Ingenieria de aguas, diseños de sistemas en ingenieria, gerencia de proyectos, estandares de seguridad en ingenieria civil, cursos de vías;99000.00;Actualización Profesional;INGENIERIA;Presencial;Finalizado;2079000.00;Ingeniería Civil y Ambiental;Finalizado;12;30;30;21;21;1
CUR-0017381;Curso Incorporación de la gestión del riesgo en el ordenamiento territorial;2/10/2018;1/08/2018;No;No;111;3;Gestión de proyectos, desarrollo humano, proyectos sociales, ordenamiento territorial, cursos de gestión;50000.00;Actualización Profesional;CENTRO INTERDISCIPLINARIO DE ESTUDIOS SOBRE DESARROLLO;Semipresencial / Blended;Finalizado;2300000.00;Centro Interdisciplinario de Estudios sobre Desarrollo (CIDER);Finalizado;7;15;20;12;12;1
CUR-0017382;Curso Desarrollo humano, pleno y sostenible desde los ODS;18/10/2018;1/08/2018;Si;No;111;3;Gestión de proyectos, desarrollo humano, proyectos sociales, ordenamiento territorial, cursos de gestión;70000.00;Actualización Profesional;CENTRO INTERDISCIPLINARIO DE ESTUDIOS SOBRE DESARROLLO;Presencial;Finalizado;1680000.00;Centro Interdisciplinario de Estudios sobre Desarrollo (CIDER);Finalizado;11;15;20;14;14;1
CUR-0017383;Curso El desafío del modelo dimensional de los trastornos de personalidad: conceptualización y evaluación;30/11/2018;1/09/2018;Si;No;116;14;universidad de los andes, psicologia, cursos de psicologia, talleres en psicologia, cursos presenciales psicologia;54000.00;Actualización Profesional;CIENCIAS SOCIALES;Presencial;Finalizado;648000.00;Psicología;Finalizado;17;20;25;22;22;1
CUR-0017384;Taller de Experimentos de Biología para jóvenes: el mundo invisible a través del microscopio;20/10/2018;1/08/2018;Si;No;111;5;Cursos de biología, Probabilidad y estadística, ciencias aplicadas, escuela de ciencias,  cursos de física, cursos de matemáticas;54500.00;Niños y Jóvenes;CIENCIAS;Presencial;Finalizado;490500.00;Ciencias;Finalizado;14;15;20;13;13;0
CUR-0017386;Seminario de Excelencia Taller de Liderazgo en Ingeniería para profesionales;12/10/2018;1/08/2018;Si;No;111;22;Cursos en ingeniería, como ser lider en ingenieria, cursos en  reingeniería,  gerencia proyectos en ingenieria, liderar proyectos en ingenieria;65000.00;Actualización Profesional;INGENIERIA;Presencial;Finalizado;2990000.00;Ingeniería;Finalizado;13;15;20;13;13;1
CUR-0017387;Curso Galaxias en nuestro Universo;27/10/2018;1/08/2018;Si;No;111;5;Cursos de biología, Probabilidad y estadística, ciencias aplicadas, escuela de ciencias,  cursos de física, cursos de matemáticas;41250.00;Artes, Ciencias y Humanidades;CIENCIAS;Presencial;Finalizado;990000.00;Ciencias;Finalizado;12;15;20;10;10;0
CUR-0017389;Curso Diseño de Sistemas de Drenaje Urbano Sostenible (SUDS): Aspectos Básicos;5/10/2018;1/08/2018;No;No;111;22;Ingenieria de aguas, diseños de sistemas en ingenieria, gerencia de proyectos, estandares de seguridad en ingenieria civil, cursos de vías;80000.00;Actualización Profesional;INGENIERIA;Presencial;Finalizado;1280000.00;Ingeniería Civil y Ambiental;Finalizado;12;20;30;23;23;1
CUR-0017392;Taller de experimentos espectaculares para niños: Física y Matemáticas;17/11/2018;1/09/2018;Si;No;116;5;Cursos de biología, Probabilidad y estadística, ciencias aplicadas, escuela de ciencias,  cursos de física, cursos de matemáticas;52222.22;Niños y Jóvenes;CIENCIAS;Presencial;Finalizado;470000.00;Ciencias;Finalizado;9;20;25;14;14;1
CUR-0017464;Curso Enseñanza - aprendizaje para profesionales de la salud;1/11/2018;1/09/2018;Si;No;116;7;Cursos presenciales medicina, medicina interna, diplomado en medicina, diplomados presenciales en medicina, oferta cursos medicina;37083.33;Actualización Profesional;MEDICINA;Presencial;Finalizado;890000.00;Medicina;Finalizado;14;20;25;15;15;1
CUR-0017467;Curso Proyectos de vida. Método de enfoque mental y emocional;13/11/2018;1/09/2018;Si;No;116;24;cursos en ingenieria, electronica, gerencia de proyectos en ingenieria, taller en electrisidad,  modalidad blend;63750.00;Desarrollo Personal;INGENIERIA;Presencial;Finalizado;1530000.00;Ingeniería Eléctrica y Electrónica;Finalizado;11;15;25;16;16;1
CUR-0017468;Curso Análisis multinivel aplicado a salud pública;2/11/2018;1/09/2018;Si;No;116;7;Cursos presenciales medicina, medicina interna, diplomado en medicina, diplomados presenciales en medicina, oferta cursos medicina;50000.00;Actualización Profesional;MEDICINA;Presencial;Finalizado;1200000.00;Medicina;Finalizado;12;20;25;12;12;1
CUR-0017470;Lanzamiento de la Escuela Iberoamericana de Regulación Eléctrica (EIRE- ARIAE). Seminario Taller: Garantías y coberturas, Señales de localización y Mercados descentralizados;17/10/2018;1/08/2018;Si;No;111;22;Cursos en ingeniería, como ser lider en ingenieria, cursos en  reingeniería,  gerencia proyectos en ingenieria, liderar proyectos en ingenieria;80000.00;Actualización Profesional;INGENIERIA;Presencial;Finalizado;960000.00;Ingeniería;Finalizado;24;50;50;35;35;1
CUR-0017472;Curso de Modelación de la Calidad del Agua Superficial: Ríos, Canales, y Ciénagas - Sede Caribe;29/11/2018;1/09/2018;Si;No;116;24;Ingenieria de aguas, diseños de sistemas en ingenieria, gerencia de proyectos, estandares de seguridad en ingenieria civil, cursos de vías;82000.00;Actualización Profesional;INGENIERIA;Presencial;Finalizado;1968000.00;Ingeniería Civil y Ambiental;Finalizado;14;30;30;17;17;1
CUR-0017475;Programa de Liderazgo en Ingeniería - Nivel Junior - Primer semestre;28/01/2019;1/11/2018;No;Si;139;28;clases de ingeniería, ingeniería Uniandes, facultad de ingeniería, liderazgo en ingeniería.;37500.00;Desarrollo Personal;INGENIERIA;Presencial;Finalizado;3000000.00;Ingeniería;Finalizado;4;25;25;17;17;1
CUR-0017662;Curso de Soporte Vital Cardiovascular Avanzado para Proveedores experimentados - ACLS EP;27/09/2018;1/07/2018;No;No;98;12;Cursos presenciales medicina, medicina interna, diplomado en medicina, diplomados presenciales en medicina, oferta cursos medicina;102857.14;Actualización Profesional;MEDICINA;Presencial;Finalizado;720000.00;Medicina;Finalizado;5;10;10;5;5;1
CUR-0017726;Curso Afrocolombias en perspectiva comparada con Brasil y Cuba;11/10/2018;1/08/2018;Si;No;111;15;Clases de historia, arte medieval, historia contemporanea, apreciación del arte, historia civil;41340.00;Artes, Ciencias y Humanidades;CIENCIAS SOCIALES;Presencial;Finalizado;1033500.00;Historia;Finalizado;13;15;30;11;11;0
CUR-0018031;Curso Derecho marítimo: transacciones comerciales internacionales;28/02/2019;1/12/2018;Si;No;138;18;Cursos de derecho,  derecho laboral, leyes colombia, derecho marítimo;75416.67;Actualización Profesional;DERECHO;Presencial;Finalizado;1810000.00;Derecho;Finalizado;14;25;25;21;21;1
CUR-0018032;Curso teórico práctico de Yoga para la salud y el bienestar;23/11/2018;1/09/2018;Si;No;116;7;Cursos presenciales medicina, medicina interna, diplomado en medicina, diplomados presenciales en medicina, oferta cursos medicina;35625.00;Desarrollo Personal;MEDICINA;Presencial;Finalizado;570000.00;Medicina;Finalizado;15;15;40;34;34;1
CUR-0018165;Seminario de Excelencia Data Science: de la teoría a la práctica;20/11/2018;1/09/2018;No;No;116;24;Cursos en ingeniería, como ser lider en ingenieria, cursos en  reingeniería,  gerencia proyectos en ingenieria, liderar proyectos en ingenieria;75000.00;Actualización Profesional;INGENIERIA;Presencial;Finalizado;2400000.00;Ingeniería;Finalizado;13;30;40;24;24;1
CUR-0018166;Curso de Soporte Vital Básico – BLS (Basic Life Support);20/10/2018;1/08/2018;No;No;111;12;Cursos presenciales medicina, medicina interna, diplomado en medicina, diplomados presenciales en medicina, oferta cursos medicina;80000.00;Actualización Profesional;MEDICINA;Presencial;Finalizado;400000.00;Medicina;Finalizado;NULL;NULL;NULL;1;1;0
CUR-0018294;Programa de Liderazgo en Ingeniería - Nivel Senior - Primer semestre;28/01/2019;1/11/2018;No;Si;139;28;Cursos en ingeniería, como ser lider en ingenieria, cursos en  reingeniería,  gerencia proyectos en ingenieria, liderar proyectos en ingenieria;136363.64;Desarrollo Personal;INGENIERIA;Presencial;Finalizado;3000000.00;Ingeniería;Finalizado;1;4;10;8;8;1
CUR-0018418;Programa infantil y juvenil de formación musical 2019-10;2/02/2019;1/12/2018;Si;Si;138;18;Oferta de cursos Uniandes, facultad de humanidades y artes, arte contemporaneo, artes y humanidades carreras, humanidades y bellas artes;38750.00;Niños y Jóvenes;ARTES Y HUMANIDADES;Presencial;Finalizado;3100000.00;Artes y Humanidades;Finalizado;89;100;150;76;76;0
CUR-0018488;Curso Protección de datos y accountability;22/02/2019;1/12/2018;No;No;138;18;Cursos de derecho,  derecho laboral, leyes colombia, protección de datos;61833.33;Actualización Profesional;DERECHO;Presencial;Finalizado;1484000.00;Derecho;Finalizado;14;20;30;23;23;1
CUR-0018491;Curso Derecho Migratorio;22/02/2019;1/12/2018;No;No;138;18;Cursos de derecho,  derecho laboral, leyes colombia, Migración;65720.00;Actualización Profesional;DERECHO;Presencial;Finalizado;2628800.00;Derecho;Finalizado;12;15;30;21;21;1
CUR-0018492;Seminario Responsabilidades de los miembros de Juntas Directivas: disciplinarias, penales y fiscales;28/02/2019;1/12/2018;Si;No;138;18;Carrera de derecho, abogacía, curso de derecho, cursos para abogados, curso de leyes;66250.00;Actualización Profesional;DERECHO;Presencial;Finalizado;530000.00;Derecho;Finalizado;11;20;30;19;19;1
CUR-0018493;Programa Profesionales® Régimen de Insolvencia;4/03/2019;1/01/2019;No;No;109;17;Cursos de derecho,  derecho laboral, leyes colombia, Regimen de insolvencia;54060.00;Actualización Profesional;DERECHO;Presencial;Finalizado;5406000.00;Derecho;Finalizado;14;15;20;17;17;1
CUR-0018494;Curso Derechos Humanos, Derecho Internacional Humanitario y construcción de paz en Colombia;8/03/2019;1/01/2019;No;No;109;17;Cursos de derecho,  derecho laboral, leyes colombia, Derechos humanos;64688.89;Actualización Profesional;DERECHO;Presencial;Finalizado;2328800.00;Derecho;Finalizado;13;15;20;8;8;0
CUR-0018496;Curso Derecho Ambiental: aspectos para la gestión ambiental en Colombia;15/03/2019;1/01/2019;No;No;109;17;Cursos de derecho,  derecho laboral, leyes colombia, Derecho ambiental;64688.89;Actualización Profesional;DERECHO;Presencial;Finalizado;2328800.00;Derecho;Finalizado;11;15;20;17;17;1
CUR-0018497;Curso Innovación en servicios jurídicos;26/04/2019;1/02/2019;Si;No;99;17;Cursos de derecho,  derecho laboral, leyes colombia, Servicios jurídicos;64688.89;Actualización Profesional;DERECHO;Presencial;Finalizado;2328800.00;Derecho;Finalizado;12;20;30;13;13;1
CUR-0018498;Curso Corporate Compliance & Governance;26/04/2019;1/02/2019;No;No;99;17;Cursos de derecho,  derecho laboral, leyes colombia, Corporate compliance;59745.45;Actualización Profesional;DERECHO;Presencial;Finalizado;2628800.00;Derecho;Finalizado;13;20;35;35;35;1
CUR-0018499;Curso Derecho minero complementario;3/05/2019;1/03/2019;Si;No;96;20;Cursos de derecho,  derecho laboral, leyes colombia, Derecho minero;65720.00;Actualización Profesional;DERECHO;Presencial;Finalizado;2628800.00;Derecho;Finalizado;11;15;30;13;13;1
CUR-0018500;Curso Legal English for Business;7/05/2019;1/03/2019;No;No;96;20;Cursos de derecho,  derecho laboral, leyes colombia, Inglés de negocios;65366.67;Actualización Profesional;DERECHO;Presencial;Finalizado;1961000.00;Derecho;Finalizado;13;15;30;25;25;1
CUR-0018501;Curso Derecho de energías renovables;10/05/2019;1/03/2019;No;No;96;20;Cursos de derecho,  derecho laboral, leyes colombia, Energías renovables;61281.25;Actualización Profesional;DERECHO;Presencial;Finalizado;1961000.00;Derecho;Finalizado;13;20;30;15;15;1
CUR-0018502;Curso Derecho del entretenimiento: publicidad e imagen a la luz de la economía naranja y la Ley de derecho de autor;10/05/2019;1/03/2019;No;No;96;20;Cursos de derecho,  derecho laboral, leyes colombia, derecho de entretenimiento;61833.33;Actualización Profesional;DERECHO;Presencial;Finalizado;1484000.00;Derecho;Finalizado;13;20;30;21;21;1
CUR-0018503;Curso Finanzas para abogados;2/07/2019;1/05/2019;No;No;71;13;Cursos de derecho,  derecho laboral, leyes colombia, Finanzas;64688.89;Actualización Profesional;DERECHO;Presencial;Finalizado;2328800.00;Derecho;Finalizado;12;15;20;14;14;1
CUR-0018504;Curso Nuevas tendencias del derecho laboral;7/06/2019;1/04/2019;No;No;89;15;Cursos de derecho,  derecho laboral, leyes colombia, Tendencias del derecho;61281.25;Actualización Profesional;DERECHO;Presencial;Finalizado;1961000.00;Derecho;Finalizado;13;20;30;10;10;0
CUR-0018505;Curso Medicina del viajero;21/02/2019;1/12/2018;Si;No;138;10;cursos de medicina, medicina alternativa, medicina tradicional, medicina del viajero.;52000.00;Actualización Profesional;MEDICINA;Presencial;Finalizado;468000.00;Medicina;Finalizado;7;20;25;17;17;1
CUR-0018506;Curso Evaluación Económica en Salud - Nivel básico;8/03/2019;1/01/2019;No;No;109;9;Yoga, Cursos presenciales medicina, medicina interna, diplomado en medicina, diplomados presenciales en medicina, oferta cursos medicina;47500.00;Actualización Profesional;MEDICINA;Presencial;Finalizado;1900000.00;Medicina;Finalizado;13;20;30;30;30;1
CUR-0018507;Curso teórico práctico: Diagnóstico y manejo integral de las dislipidemias;17/05/2019;1/03/2019;Si;No;96;9;cursos de medicina, medicina alternativa, medicina tradicional, diagnóstico de laboratorio.;61250.00;Actualización Profesional;MEDICINA;Presencial;Finalizado;980000.00;Medicina;Finalizado;12;20;25;10;10;0
CUR-0018508;Programa de Alto Gobierno - PAG;21/03/2019;1/01/2019;No;Si;109;0;Escuela de Gobierno Alberto Lleras Camargo, sistema  de salud;550000.00;Actualización Profesional;ESCUELA DE GOBIERNO ALBERTO LLERAS CAMARGO;Presencial;Finalizado;22000000.00;Escuela de Gobierno Alberto Lleras Camargo;Finalizado;12;20;30;27;27;1
CUR-0018511;Curso Ley de Convivencia Escolar: el qué y el cómo de la Ruta de Atención Integral;2/03/2019;1/01/2019;Si;No;109;4;educación continua, educación formal, cursos de educación, ley de convivencia.;51785.71;Actualización Profesional;EDUCACION;Semipresencial / Blended;Finalizado;1450000.00;Educación;Finalizado;12;20;30;14;14;1
CUR-0018512;Curso Indicadores y medición en la gestión de proyectos y políticas sociales;1/04/2019;1/02/2019;No;No;99;6;Uniandes, Educación Continua Uniandes, cursos Uniandes, desarrollo social.;79166.67;Actualización Profesional;CENTRO INTERDISCIPLINARIO DE ESTUDIOS SOBRE DESARROLLO;Presencial;Finalizado;1900000.00;Centro Interdisciplinario de Estudios sobre Desarrollo (CIDER);Finalizado;10;15;20;23;23;1
CUR-0018513;Curso Fuentes de financiación y formulación de proyectos sociales en la cooperación euro-latinoamericana;11/02/2019;1/12/2018;No;No;138;6;Gestión de proyectos, desarrollo humano, proyectos sociales, ordenamiento territorial, cursos de gestión;79166.67;Actualización Profesional;CENTRO INTERDISCIPLINARIO DE ESTUDIOS SOBRE DESARROLLO;Presencial;Finalizado;1900000.00;Centro Interdisciplinario de Estudios sobre Desarrollo (CIDER);Finalizado;10;15;20;19;19;1
CUR-0018524;Taller de Fundamentos de dibujo;23/02/2019;1/12/2018;No;No;138;18;Arte contemporaneo, escultura, arte y pintura, dibujo figurativo;45000.00;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;1440000.00;Arte;Finalizado;7;15;15;9;10;1
CUR-0018525;Taller Fundamentos de pintura;13/07/2019;1/05/2019;No;No;71;16;Arte contemporaneo, escultura, arte y pintura, dibujo y pintura;45000.00;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;1440000.00;Arte;Finalizado;8;15;15;12;13;1
CUR-0018526;Taller de Pintura experimental;14/09/2019;1/07/2019;No;No;127;22;Arte contemporaneo, escultura, arte y pintura, taller de pintura;45000.00;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;1080000.00;Arte;Finalizado;9;15;16;15;16;1
CUR-0018527;Taller Dibujo analítico de figura humana;4/05/2019;1/03/2019;Si;No;96;17;Arte contemporaneo, escultura, arte y pintura, dibujo figurativo;45000.00;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;1800000.00;Arte;Finalizado;7;15;15;5;6;0
CUR-0018528;Programa de Dibujo y pintura;23/02/2019;1/12/2018;Si;Si;138;18;Arte contemporaneo, escultura, arte y pintura, dibujo y pintura;40500.00;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;5184000.00;Arte;Finalizado;9;15;15;1;1;0
CUR-0018539;Taller de Preparación para el TOEFL y el IELTS 201910_Décima Sexta Promoción.;18/03/2019;1/01/2019;Si;No;109;15;idiomas, lengua española, cultura y sociedad;70480.00;Lenguas;CIENCIAS SOCIALES;Presencial;Finalizado;3524000.00;Lenguas y Cultura;Finalizado;12;20;30;14;14;1
CUR-0018540;Taller InDesign básico. Herramientas gráficas para no diseñadores;12/02/2019;1/12/2018;Si;No;138;4;Clases de diseño, diseño gráfico, cursos de diseño, curso de indesign.;62500.00;Actualización Profesional;ARQUITECTURA Y DISENO;Presencial;Finalizado;1500000.00;Diseño;Finalizado;11;15;20;13;13;1
CUR-0018541;Taller Photoshop básico. Herramientas gráficas para no diseñadores.;3/04/2019;1/02/2019;Si;No;99;4;Clases de diseño, diseño gráfico, cursos de diseño, curso de photoshop.;65791.67;Actualización Profesional;ARQUITECTURA Y DISENO;Presencial;Finalizado;1579000.00;Diseño;Finalizado;8;15;20;8;8;1
CUR-0018543;Curso Historia de Irán y la revolución islámica;16/02/2019;1/12/2018;Si;No;138;17;Revolución islámica, cursos de historia, historia del arte, licenciatura historia;43872.22;Artes, Ciencias y Humanidades;CIENCIAS SOCIALES;Presencial;Finalizado;789700.00;Historia;Finalizado;8;15;30;10;10;1
CUR-0018671;Curso Herramientas desde el Arte Terapia;27/04/2019;1/02/2019;Si;No;99;15;Arte terapia;34979.04;Actualización Profesional;ARTES Y HUMANIDADES;Presencial;Finalizado;1853889.00;Artes y Humanidades;Finalizado;0;5;5;6;15;1
CUR-0018672;Curso Medicina Genómica – aplicaciones en genética clínica;15/02/2019;1/12/2018;Si;No;138;0;cursos de medicina, medicina alternativa, medicina tradicional, biotecnología.;63750.00;Actualización Profesional;CENTRO DE SERVICIOS INTEGRALES EN GENETICA - SIGEN;Presencial;Finalizado;1020000.00;Centro de Servicios Integrales en Genética - SIGEN;Finalizado;11;15;25;19;19;1
CUR-0018674;Curso Enseñanza Clínica;16/03/2019;1/01/2019;Si;No;109;9;cursos de medicina, medicina alternativa, medicina tradicional, pedagogía médica.;41111.11;Actualización Profesional;MEDICINA;Semipresencial / Blended;Finalizado;1480000.00;Medicina;Finalizado;12;20;25;17;17;1
CUR-0018831;Curso de Matemáticas para Posgrados;18/01/2019;1/11/2018;No;No;139;5;curso de matematicas, clases de matematicas, cursos de economía;45000.00;Actualización Profesional;ECONOMIA;Presencial;Finalizado;1170000.00;Economía;Finalizado;15;30;30;27;27;1
CUR-0018832;Programa Fotografía: cuerpo, espacio y visión;9/03/2019;1/01/2019;Si;Si;109;17;Arte contemporaneo, escultura, arte y pintura, curso de fotografía;45000.00;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;6930000.00;Arte;Finalizado;9;17;17;4;4;0
CUR-0018834;Curso Fotografía en blanco y negro y en color;9/03/2019;1/01/2019;Si;No;109;17;Arte contemporaneo, escultura, arte y pintura, curso de fotografía;50000.00;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;3150000.00;Arte;Finalizado;9;17;17;2;6;0
CUR-0018840;Curso de Fotografía: visión personal;7/09/2019;1/07/2019;Si;No;127;22;Arte contemporaneo, escultura, arte y pintura, fotografía personal;50000.00;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;1400000.00;Arte;Finalizado;9;25;25;8;12;0
CUR-0018846;Ciclo de Iniciación musical EMI-1;2/02/2019;1/12/2018;Si;Si;138;18;Desarrollo musical;68125.00;Niños y Jóvenes;ARTES Y HUMANIDADES;Presencial;Finalizado;1090000.00;Artes y Humanidades;Finalizado;6;10;10;9;9;1
CUR-0018847;Ciclo de Iniciación musical EMI-2;2/02/2019;1/12/2018;Si;Si;138;18;Desarrollo musical;64718.75;Niños y Jóvenes;ARTES Y HUMANIDADES;Presencial;Finalizado;2071000.00;Artes y Humanidades;Finalizado;9;9;9;9;9;1
CUR-0018848;Curso Las cruzadas: peregrinaje armado y guerra santa;4/05/2019;1/03/2019;Si;No;96;11;Las cruzadas, cursos de historia, historia del arte, licenciatura historia;43872.22;Artes, Ciencias y Humanidades;CIENCIAS SOCIALES;Presencial;Finalizado;789700.00;Historia;Finalizado;9;15;30;10;10;1
CUR-0018849;Curso Innovación en Química y Desarrollo Sostenible;12/03/2019;1/01/2019;Si;No;109;6;Clases de ciencia, Ciencias aplicadas, física y matemática, sociedades industriales.;55000.00;Actualización Profesional;CIENCIAS;Presencial;Finalizado;1650000.00;Ciencias;Finalizado;11;15;25;11;11;1
CUR-0019830;Programa Cerámica a su propio ritmo;23/02/2019;1/12/2018;Si;Si;138;18;Arte contemporaneo, escultura, arte y pintura, curso de cerámica;40500.00;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;6075000.00;Arte;Finalizado;11;16;16;3;3;0
CUR-0019831;Taller Modelado cerámica;23/02/2019;1/12/2018;Si;No;138;18;Arte contemporaneo, escultura, arte y pintura, Modelado de cerámica;45000.00;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;2250000.00;Arte;Finalizado;11;16;16;7;10;0
CUR-0019832;Taller Placas cerámicas y escultura en torno;18/05/2019;1/03/2019;Si;No;96;17;Arte contemporaneo, escultura, arte y pintura, Cerámica artística;45000.00;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;2250000.00;Arte;Finalizado;11;16;16;8;11;0
CUR-0019834;Taller Rollos y talla en alto y bajo relieve;10/08/2019;1/06/2019;Si;No;84;20;Arte contemporaneo, escultura, arte y pintura, Acabados cerámicos;45000.00;Artes, Ciencias y Humanidades;ARTES Y HUMANIDADES;Presencial;Finalizado;2250000.00;Arte;Finalizado;11;16;16;7;10;0
CUR-0019835;Curso Introducción a la Morfometría Geométrica;27/03/2019;1/01/2019;Si;No;109;6;Clases de ciencia, Ciencias aplicadas, física y matemática, toma de datos espaciales.;55000.00;Actualización Profesional;CIENCIAS;Presencial;Finalizado;825000.00;Ciencias;Finalizado;11;15;25;8;8;0
CUR-0019836;Curso Coolhunting: cacería y análisis de tendencias para la innovación - Segunda promoción;6/07/2019;1/05/2019;Si;No;71;2;Clases de diseño, diseño gráfico, cursos de diseño, coolhunting.;68000.00;Actualización Profesional;ARQUITECTURA Y DISENO;Presencial;Finalizado;1360000.00;Diseño;Finalizado;8;15;25;27;27;1
CUR-0019837;Taller Illustrator básico. Herramientas gráficas para no diseñadores_Segunda Promoción;13/08/2019;1/06/2019;Si;No;84;4;Clases de diseño, diseño gráfico, cursos de diseño, curso de illustrator.;62500.00;Actualización Profesional;ARQUITECTURA Y DISENO;Presencial;Finalizado;1500000.00;Diseño;Finalizado;9;15;20;9;9;1
